Country Code,Country,Year,Health Expenditure Share of ppp per capita
BIH,Bosnia and Herzegovina,2019,1366.248
BIH,Bosnia and Herzegovina,2020,1454.321
BIH,Bosnia and Herzegovina,2021,1639.851
BIH,Bosnia and Herzegovina,2022,1683.713
BIH,Bosnia and Herzegovina,2023,1835.327
BIH,Bosnia and Herzegovina,2024,1965.206
BRA,Brazil,2011,1178.694
BRA,Brazil,2012,1222.604
BRA,Brazil,2013,1299.214
BRA,Brazil,2014,1376.439
BRA,Brazil,2015,1360.799
BRA,Brazil,2016,1339.996
BRA,Brazil,2017,1364.568
BRA,Brazil,2018,1454.169
BRA,Brazil,2019,1546.877
BRA,Brazil,2020,1578.256
BRA,Brazil,2021,1778.286
BRA,Brazil,2022,1898.368
BGR,Bulgaria,2003,571.26
BGR,Bulgaria,2004,599.083
BGR,Bulgaria,2005,662.588
BGR,Bulgaria,2006,678.042
BGR,Bulgaria,2007,725.441
BGR,Bulgaria,2008,813.823
BGR,Bulgaria,2009,852.424
BGR,Bulgaria,2010,970.293
BGR,Bulgaria,2011,1084.652
BGR,Bulgaria,2012,1180.308
BGR,Bulgaria,2013,1177.698
BGR,Bulgaria,2014,1357.076
BGR,Bulgaria,2015,1386.813
BGR,Bulgaria,2016,1544.533
BGR,Bulgaria,2017,1651.587
BGR,Bulgaria,2018,1755.498
BGR,Bulgaria,2019,1884.787
BGR,Bulgaria,2020,2238.397
BGR,Bulgaria,2021,2654.428
BGR,Bulgaria,2022,2803.324
BGR,Bulgaria,2023,3234.507
BGR,Bulgaria,2024,3751.423
CAN,Canada,2000,2450.585
CAN,Canada,2001,2624.271
CAN,Canada,2002,2758.142
CAN,Canada,2003,2914.315
CAN,Canada,2004,3122.602
CAN,Canada,2005,3292.016
CAN,Canada,2006,3488.038
CAN,Canada,2007,3711.256
CAN,Canada,2008,3849.985
CAN,Canada,2009,3946.766
CAN,Canada,2010,4156.879
CAN,Canada,2011,4231.3
CAN,Canada,2012,4341.234
CAN,Canada,2013,4433.754
CAN,Canada,2014,4541.822
CAN,Canada,2015,4640.668
CAN,Canada,2016,5049.311
CAN,Canada,2017,5185.076
CAN,Canada,2018,5333.631
CAN,Canada,2019,5394.953
CAN,Canada,2020,6195.885
CAN,Canada,2021,6896.98
CAN,Canada,2022,6910.418
CAN,Canada,2023,7208.115
CAN,Canada,2024,7372.25
CAN,Canada,2025,7505.901
CHL,Chile,2000,585.419
CHL,Chile,2001,615.642
CHL,Chile,2002,650.213
CHL,Chile,2003,700.652
CHL,Chile,2004,764.626
CHL,Chile,2005,810.691
CHL,Chile,2006,959.483
CHL,Chile,2007,1060.721
CHL,Chile,2008,1129.411
CHL,Chile,2009,1209.207
CHL,Chile,2010,1254.254
CHL,Chile,2011,1355.452
CHL,Chile,2012,1485.284
CHL,Chile,2013,1658.112
CHL,Chile,2014,1754.988
CHL,Chile,2015,1833.552
CHL,Chile,2016,1941.256
CHL,Chile,2017,2119.552
CHL,Chile,2018,2262.518
CHL,Chile,2019,2389.441
CHL,Chile,2020,2489.426
CHL,Chile,2021,2848.285
CHL,Chile,2022,3130.127
CHL,Chile,2023,3515.455
CHL,Chile,2024,4002.955
CHL,Chile,2025,4095.044
CHN,China (People’s Republic of),2011,443.965
CHN,China (People’s Republic of),2012,514.271
CHN,China (People’s Republic of),2013,566.904
CHN,China (People’s Republic of),2014,600.448
CHN,China (People’s Republic of),2015,640.023
CHN,China (People’s Republic of),2016,672.853
CHN,China (People’s Republic of),2017,772.763
CHN,China (People’s Republic of),2018,851.444
CHN,China (People’s Republic of),2019,949.352
CHN,China (People’s Republic of),2020,1030.111
CHN,China (People’s Republic of),2021,1109.462
CHN,China (People’s Republic of),2022,1372.911
CHN,China (People’s Republic of),2023,1518.941
COL,Colombia,2011,818.188
COL,Colombia,2012,867.719
COL,Colombia,2013,959.772
COL,Colombia,2014,1025.999
COL,Colombia,2015,1077.247
COL,Colombia,2016,1146.737
COL,Colombia,2017,1184.434
COL,Colombia,2018,1245.711
COL,Colombia,2019,1315.321
COL,Colombia,2020,1379.007
COL,Colombia,2021,1635.019
COL,Colombia,2022,1633.154
COL,Colombia,2023,1885.752
COL,Colombia,2024,2089.781
COL,Colombia,2025,2088.131
CRI,Costa Rica,2011,1167.55
CRI,Costa Rica,2012,1208.967
CRI,Costa Rica,2013,1228.638
CRI,Costa Rica,2014,1302.344
CRI,Costa Rica,2015,1372.151
CRI,Costa Rica,2016,1403.238
CRI,Costa Rica,2017,1436.559
CRI,Costa Rica,2018,1522.274
CRI,Costa Rica,2019,1603.628
CRI,Costa Rica,2020,1581.441
CRI,Costa Rica,2021,1709.282
CRI,Costa Rica,2022,1759.395
CRI,Costa Rica,2023,1901.755
CRI,Costa Rica,2024,2057.709
CRI,Costa Rica,2025,2207.824
HRV,Croatia,2003,819.377
HRV,Croatia,2004,901.292
HRV,Croatia,2005,985.886
HRV,Croatia,2006,1099.74
HRV,Croatia,2007,1292.624
HRV,Croatia,2008,1445.84
HRV,Croatia,2009,1475.332
HRV,Croatia,2010,1467.538
HRV,Croatia,2011,1434.654
HRV,Croatia,2012,1454.817
HRV,Croatia,2013,1296.204
HRV,Croatia,2014,1372.72
HRV,Croatia,2015,1448.155
HRV,Croatia,2016,1591.633
HRV,Croatia,2017,1687.655
HRV,Croatia,2018,1830.834
HRV,Croatia,2019,2019.987
HRV,Croatia,2020,2166.711
HRV,Croatia,2021,2717.751
HRV,Croatia,2022,2767.875
HRV,Croatia,2023,3102.223
HRV,Croatia,2024,3528.971
CYP,Cyprus,2003,1277.221
CYP,Cyprus,2004,1304.927
CYP,Cyprus,2005,1382.429
CYP,Cyprus,2006,1471.71
CYP,Cyprus,2007,1590.88
CYP,Cyprus,2008,1903.66
CYP,Cyprus,2009,1967.301
CYP,Cyprus,2010,1949.293
CYP,Cyprus,2011,1928.608
CYP,Cyprus,2012,1869.823
CYP,Cyprus,2013,1889.879
CYP,Cyprus,2014,1896.237
CYP,Cyprus,2015,1925.4
CYP,Cyprus,2016,2100.294
CYP,Cyprus,2017,2227.704
CYP,Cyprus,2018,2441.88
CYP,Cyprus,2019,2750.294
CYP,Cyprus,2020,3266.498
CYP,Cyprus,2021,3777.718
CYP,Cyprus,2022,4043.114
CYP,Cyprus,2023,4356.126
CYP,Cyprus,2024,4737.976
CZE,Czechia,2000,1026.221
CZE,Czechia,2001,1160.437
CZE,Czechia,2002,1267.68
CZE,Czechia,2003,1393.294
CZE,Czechia,2004,1463.595
CZE,Czechia,2005,1523.395
CZE,Czechia,2006,1559.463
CZE,Czechia,2007,1660.623
CZE,Czechia,2008,1822.937
CZE,Czechia,2009,2050.813
CZE,Czechia,2010,2198.018
CZE,Czechia,2011,2220.438
CZE,Czechia,2012,2274.866
CZE,Czechia,2013,2376.531
CZE,Czechia,2014,2564.045
CZE,Czechia,2015,2593.927
CZE,Czechia,2016,2778.648
CZE,Czechia,2017,2952.804
CZE,Czechia,2018,3124.264
CZE,Czechia,2019,3490.876
CZE,Czechia,2020,4098.209
CZE,Czechia,2021,4462.251
CZE,Czechia,2022,4540.407
CZE,Czechia,2023,4920.598
CZE,Czechia,2024,5200.672
CZE,Czechia,2025,5611.917
DNK,Denmark,2000,2346.165
DNK,Denmark,2001,2472.72
DNK,Denmark,2002,2711.668
DNK,Denmark,2003,2722.074
DNK,Denmark,2004,2919.718
DNK,Denmark,2005,3014.982
DNK,Denmark,2006,3287.698
DNK,Denmark,2007,3563.372
DNK,Denmark,2008,3777.707
DNK,Denmark,2009,4020.146
DNK,Denmark,2010,4262.887
DNK,Denmark,2011,4266.254
DNK,Denmark,2012,4426.627
DNK,Denmark,2013,4517.248
DNK,Denmark,2014,4589.765
DNK,Denmark,2015,4719.382
DNK,Denmark,2016,4894.079
DNK,Denmark,2017,5112.959
DNK,Denmark,2018,5306.704
DNK,Denmark,2019,5656.597
DNK,Denmark,2020,6146.851
DNK,Denmark,2021,6912.955
DNK,Denmark,2022,6888.355
DNK,Denmark,2023,7076.503
DNK,Denmark,2024,7400.824
DNK,Denmark,2025,7579.631
EST,Estonia,2000,543.127
EST,Estonia,2001,545.306
EST,Estonia,2002,624.72
EST,Estonia,2003,740.064
EST,Estonia,2004,848.594
EST,Estonia,2005,931.229
EST,Estonia,2006,987.788
EST,Estonia,2007,1184.058
EST,Estonia,2008,1345.946
EST,Estonia,2009,1367.901
EST,Estonia,2010,1421.081
EST,Estonia,2011,1466.12
EST,Estonia,2012,1583.049
EST,Estonia,2013,1707.913
EST,Estonia,2014,1821.237
EST,Estonia,2015,1941.591
EST,Estonia,2016,2096.544
EST,Estonia,2017,2201.474
EST,Estonia,2018,2364.073
EST,Estonia,2019,2613.77
EST,Estonia,2020,2921.922
EST,Estonia,2021,3175.924
EST,Estonia,2022,3181.755
EST,Estonia,2023,3568.142
EST,Estonia,2024,3930.431
EST,Estonia,2025,4057.684
FIN,Finland,2000,1877.209
FIN,Finland,2001,1982.592
FIN,Finland,2002,2201.215
FIN,Finland,2003,2276.224
FIN,Finland,2004,2477.926
FIN,Finland,2005,2573.5
FIN,Finland,2006,2751.399
FIN,Finland,2007,3005.173
FIN,Finland,2008,3243.775
FIN,Finland,2009,3284.719
FIN,Finland,2010,3425.148
FIN,Finland,2011,3598.302
FIN,Finland,2012,3786.188
FIN,Finland,2013,3933.236
FIN,Finland,2014,3955.755
FIN,Finland,2015,3992.493
FIN,Finland,2016,4103.554
FIN,Finland,2017,4215.309
FIN,Finland,2018,4330.443
FIN,Finland,2019,4659.76
FIN,Finland,2020,4966.75
FIN,Finland,2021,5394.731
FIN,Finland,2022,5834.019
FIN,Finland,2023,6562.965
FIN,Finland,2024,6786.265
FIN,Finland,2025,6775.237
FRA,France,2000,2688.047
FRA,France,2001,2875.765
FRA,France,2002,3152.016
FRA,France,2003,3055.102
FRA,France,2004,3169.942
FRA,France,2005,3264.574
FRA,France,2006,3443.264
FRA,France,2007,3588.514
FRA,France,2008,3729.353
FRA,France,2009,3884.7
FRA,France,2010,3970.767
FRA,France,2011,4090.696
FRA,France,2012,4225.235
FRA,France,2013,4490.32
FRA,France,2014,4558.191
FRA,France,2015,4607.219
FRA,France,2016,4863.273
FRA,France,2017,4944.338
FRA,France,2018,5035.647
FRA,France,2019,5433.728
FRA,France,2020,5770.47
FRA,France,2021,6300.431
FRA,France,2022,6761.628
FRA,France,2023,7165.712
FRA,France,2024,7433.373
FRA,France,2025,7521.952
GEO,Georgia,2011,610.218
GEO,Georgia,2012,695.193
GEO,Georgia,2013,899.295
GEO,Georgia,2014,901.987
GEO,Georgia,2015,1079.021
GEO,Georgia,2016,1201.337
GEO,Georgia,2017,1178.538
GEO,Georgia,2018,1161.983
GEO,Georgia,2019,1198.771
GEO,Georgia,2020,1461.112
GEO,Georgia,2021,1905.997
GEO,Georgia,2022,1781.764
GEO,Georgia,2023,1643.952
DEU,Germany,2000,2886.244
DEU,Germany,2001,2998.924
DEU,Germany,2002,3227.222
DEU,Germany,2003,3313.961
DEU,Germany,2004,3378.185
DEU,Germany,2005,3416.844
DEU,Germany,2006,3549.342
DEU,Germany,2007,3732.965
DEU,Germany,2008,3936.137
DEU,Germany,2009,4144.834
DEU,Germany,2010,4401.724
DEU,Germany,2011,4547.394
DEU,Germany,2012,4724.81
DEU,Germany,2013,4932.973
DEU,Germany,2014,5132.263
DEU,Germany,2015,5274.178
DEU,Germany,2016,5645.607
DEU,Germany,2017,5940.117
DEU,Germany,2018,6247.099
DEU,Germany,2019,6785.384
DEU,Germany,2020,7362.902
DEU,Germany,2021,8103.429
DEU,Germany,2022,8792.414
DEU,Germany,2023,8927.4
DEU,Germany,2024,9584.343
DEU,Germany,2025,10115.728
GRC,Greece,2000,1418.69
GRC,Greece,2001,1701.208
GRC,Greece,2002,1951.129
GRC,Greece,2003,2047.878
GRC,Greece,2004,2100.137
GRC,Greece,2005,2193.594
GRC,Greece,2006,2302.007
GRC,Greece,2007,2425.664
GRC,Greece,2008,2665.467
GRC,Greece,2009,2738.3
GRC,Greece,2010,2604.951
GRC,Greece,2011,2289.591
GRC,Greece,2012,2145.538
GRC,Greece,2013,2093.213
GRC,Greece,2014,2017.812
GRC,Greece,2015,2131.633
GRC,Greece,2016,2269.74
GRC,Greece,2017,2265.007
GRC,Greece,2018,2332.431
GRC,Greece,2019,2505.281
GRC,Greece,2020,2682.375
GRC,Greece,2021,2946.525
GRC,Greece,2022,3240.499
GRC,Greece,2023,3628.243
GRC,Greece,2024,3791.208
GRC,Greece,2025,3802.397
HUN,Hungary,2000,907.064
HUN,Hungary,2001,996.194
HUN,Hungary,2002,1167.234
HUN,Hungary,2003,1364.344
HUN,Hungary,2004,1381.043
HUN,Hungary,2005,1463.525
HUN,Hungary,2006,1510.744
HUN,Hungary,2007,1430.16
HUN,Hungary,2008,1492.593
HUN,Hungary,2009,1494.076
HUN,Hungary,2010,1665.151
HUN,Hungary,2011,1755.527
HUN,Hungary,2012,1766.535
HUN,Hungary,2013,1825.334
HUN,Hungary,2014,1870.091
HUN,Hungary,2015,1899.987
HUN,Hungary,2016,2010.802
HUN,Hungary,2017,2011.198
HUN,Hungary,2018,2121.786
HUN,Hungary,2019,2245.498
HUN,Hungary,2020,2615.41
HUN,Hungary,2021,2949.774
HUN,Hungary,2022,3004.874
HUN,Hungary,2023,3161.939
HUN,Hungary,2024,3340.53
HUN,Hungary,2025,3388.189
ISL,Iceland,2000,2659.447
ISL,Iceland,2001,2751.516
ISL,Iceland,2002,3057.131
ISL,Iceland,2003,3108.905
ISL,Iceland,2004,3261.804
ISL,Iceland,2005,3281.175
ISL,Iceland,2006,3393.064
ISL,Iceland,2007,3560.703
ISL,Iceland,2008,3613.337
ISL,Iceland,2009,3484.825
ISL,Iceland,2010,3262.452
ISL,Iceland,2011,3333.712
ISL,Iceland,2012,3419.828
ISL,Iceland,2013,3519.915
ISL,Iceland,2014,3626.695
ISL,Iceland,2015,3761.82
ISL,Iceland,2016,3967.963
ISL,Iceland,2017,4142.909
ISL,Iceland,2018,4265.976
ISL,Iceland,2019,4634.479
ISL,Iceland,2020,5010.877
ISL,Iceland,2021,5555.612
ISL,Iceland,2022,6137.699
ISL,Iceland,2023,6493.054
ISL,Iceland,2024,7013.286
ISL,Iceland,2025,7135.163
IND,India,2011,158.472
IND,India,2012,176.841
IND,India,2013,205.737
IND,India,2014,206.21
IND,India,2015,213.143
IND,India,2016,221.081
IND,India,2017,192.395
IND,India,2018,206.502
IND,India,2019,227.761
IND,India,2020,249.68
IND,India,2021,297.297
IND,India,2022,345.052
IND,India,2023,380.42
IDN,Indonesia,2011,268.19
IDN,Indonesia,2012,283.269
IDN,Indonesia,2013,286.337
IDN,Indonesia,2014,304.352
IDN,Indonesia,2015,299.865
IDN,Indonesia,2016,316.748
IDN,Indonesia,2017,306.746
IDN,Indonesia,2018,320.971
IDN,Indonesia,2019,339.788
IDN,Indonesia,2020,401.751
IDN,Indonesia,2021,475.542
IDN,Indonesia,2022,385.633
IDN,Indonesia,2023,416.509
IDN,Indonesia,2024,439.307
IRL,Ireland,2000,1830.142
IRL,Ireland,2001,2134.708
IRL,Ireland,2002,2418.861
IRL,Ireland,2003,2577.823
IRL,Ireland,2004,2803.94
IRL,Ireland,2005,3093.376
IRL,Ireland,2006,3203.321
IRL,Ireland,2007,3384.493
IRL,Ireland,2008,3643.273
IRL,Ireland,2009,3858.953
IRL,Ireland,2010,4048.41
IRL,Ireland,2011,4181.222
IRL,Ireland,2012,4327.311
IRL,Ireland,2013,4257.962
IRL,Ireland,2014,4192.056
IRL,Ireland,2015,4303.342
IRL,Ireland,2016,4556.428
IRL,Ireland,2017,4676.421
IRL,Ireland,2018,4855.401
IRL,Ireland,2019,5183.907
IRL,Ireland,2020,5585.105
IRL,Ireland,2021,6188.965
IRL,Ireland,2022,6863.892
IRL,Ireland,2023,7333.768
IRL,Ireland,2024,7900.295
IRL,Ireland,2025,8284.317
ISR,Israel,2000,1553.579
ISR,Israel,2001,1655.96
ISR,Israel,2002,1691.502
ISR,Israel,2003,1636.573
ISR,Israel,2004,1709.967
ISR,Israel,2005,1756.34
ISR,Israel,2006,1738.126
ISR,Israel,2007,1849.624
ISR,Israel,2008,1839.047
ISR,Israel,2009,1902.832
ISR,Israel,2010,1971.313
ISR,Israel,2011,2081.778
ISR,Israel,2012,2223.345
ISR,Israel,2013,2238.455
ISR,Israel,2014,2237.584
ISR,Israel,2015,2310.019
ISR,Israel,2016,2524.083
ISR,Israel,2017,2626.181
ISR,Israel,2018,2748.975
ISR,Israel,2019,2811.711
ISR,Israel,2020,3015.382
ISR,Israel,2021,3476.472
ISR,Israel,2022,3724.325
ISR,Israel,2023,4049.04
ISR,Israel,2024,4234.976
ISR,Israel,2025,4304.23
ITA,Italy,2000,2030.925
ITA,Italy,2001,2151.969
ITA,Italy,2002,2291.476
ITA,Italy,2003,2285.052
ITA,Italy,2004,2444.214
ITA,Italy,2005,2495.609
ITA,Italy,2006,2649.606
ITA,Italy,2007,2681.262
ITA,Italy,2008,2913.415
ITA,Italy,2009,2917.698
ITA,Italy,2010,3074.38
ITA,Italy,2011,3064.841
ITA,Italy,2012,3059.487
ITA,Italy,2013,3060.035
ITA,Italy,2014,3073.315
ITA,Italy,2015,3125.671
ITA,Italy,2016,3317.723
ITA,Italy,2017,3426.725
ITA,Italy,2018,3529.22
ITA,Italy,2019,3798.028
ITA,Italy,2020,4027.251
ITA,Italy,2021,4408.746
ITA,Italy,2022,4865.044
ITA,Italy,2023,5114.1
ITA,Italy,2024,5337.42
ITA,Italy,2025,5336.057
JPN,Japan,2000,1847.781
JPN,Japan,2001,1945.546
JPN,Japan,2002,2065.133
JPN,Japan,2003,2194.413
JPN,Japan,2004,2303.696
JPN,Japan,2005,2471.186
JPN,Japan,2006,2561.207
JPN,Japan,2007,2689.95
JPN,Japan,2008,2799.198
JPN,Japan,2009,2971.376
JPN,Japan,2010,3169.22
JPN,Japan,2011,3740.756
JPN,Japan,2012,3970.765
JPN,Japan,2013,4308.252
JPN,Japan,2014,4328.364
JPN,Japan,2015,4515.556
JPN,Japan,2016,4292.171
JPN,Japan,2017,4405.469
JPN,Japan,2018,4543.305
JPN,Japan,2019,4659.58
JPN,Japan,2020,4858.511
JPN,Japan,2021,5465.04
JPN,Japan,2022,5878.23
JPN,Japan,2023,5963.557
JPN,Japan,2024,5884.151
JPN,Japan,2025,5872.61
KOR,Korea,2000,715.918
KOR,Korea,2001,839.131
KOR,Korea,2002,860.521
KOR,Korea,2003,1017.042
KOR,Korea,2004,1080.895
KOR,Korea,2005,1186.364
KOR,Korea,2006,1330.673
KOR,Korea,2007,1448.189
KOR,Korea,2008,1575.668
KOR,Korea,2009,1723.607
KOR,Korea,2010,1917.798
KOR,Korea,2011,2014.281
KOR,Korea,2012,2101.789
KOR,Korea,2013,2163.514
KOR,Korea,2014,2255.9
KOR,Korea,2015,2538.289
KOR,Korea,2016,2689.795
KOR,Korea,2017,2832.054
KOR,Korea,2018,3090.994
KOR,Korea,2019,3374.802
KOR,Korea,2020,3618.078
KOR,Korea,2021,4106.425
KOR,Korea,2022,4714.771
KOR,Korea,2023,4756.55
KOR,Korea,2024,5098.699
KOR,Korea,2025,5281.676
LVA,Latvia,2000,435.553
LVA,Latvia,2001,518.911
LVA,Latvia,2002,573.809
LVA,Latvia,2003,581.771
LVA,Latvia,2004,727.836
LVA,Latvia,2005,782.223
LVA,Latvia,2006,876.563
LVA,Latvia,2007,1007.525
LVA,Latvia,2008,1042.802
LVA,Latvia,2009,956.945
LVA,Latvia,2010,1011.094
LVA,Latvia,2011,1027.427
LVA,Latvia,2012,1086.275
LVA,Latvia,2013,1151.513
LVA,Latvia,2014,1213.991
LVA,Latvia,2015,1319.35
LVA,Latvia,2016,1508.338
LVA,Latvia,2017,1572.717
LVA,Latvia,2018,1860.969
LVA,Latvia,2019,2158.118
LVA,Latvia,2020,2403.416
LVA,Latvia,2021,3495.178
LVA,Latvia,2022,3287.28
LVA,Latvia,2023,3201.524
LVA,Latvia,2024,3643.207
LVA,Latvia,2025,3964.609
LTU,Lithuania,2000,538.941
LTU,Lithuania,2001,569.435
LTU,Lithuania,2002,647.504
LTU,Lithuania,2003,745.024
LTU,Lithuania,2004,721.435
LTU,Lithuania,2005,825.067
LTU,Lithuania,2006,944.011
LTU,Lithuania,2007,1076.477
LTU,Lithuania,2008,1256.201
LTU,Lithuania,2009,1257.616
LTU,Lithuania,2010,1288.766
LTU,Lithuania,2011,1415.678
LTU,Lithuania,2012,1472.511
LTU,Lithuania,2013,1555.005
LTU,Lithuania,2014,1678.49
LTU,Lithuania,2015,1796.823
LTU,Lithuania,2016,1954.499
LTU,Lithuania,2017,2082.483
LTU,Lithuania,2018,2381.798
LTU,Lithuania,2019,2852.444
LTU,Lithuania,2020,3092.326
LTU,Lithuania,2021,3601.094
LTU,Lithuania,2022,3712.223
LTU,Lithuania,2023,3952.182
LTU,Lithuania,2024,4394.853
LTU,Lithuania,2025,4431.54
LUX,Luxembourg,2000,3412.009
LUX,Luxembourg,2001,3715.042
LUX,Luxembourg,2002,4248.808
LUX,Luxembourg,2003,4409.88
LUX,Luxembourg,2004,4774.515
LUX,Luxembourg,2005,4881.401
LUX,Luxembourg,2006,5151.672
LUX,Luxembourg,2007,5086.957
LUX,Luxembourg,2008,5431.112
LUX,Luxembourg,2009,5715.826
LUX,Luxembourg,2010,5621.517
LUX,Luxembourg,2011,4830.517
LUX,Luxembourg,2012,4424.503
LUX,Luxembourg,2013,4636.665
LUX,Luxembourg,2014,4707.036
LUX,Luxembourg,2015,4692.311
LUX,Luxembourg,2016,4876.34
LUX,Luxembourg,2017,4989.031
LUX,Luxembourg,2018,5292.055
LUX,Luxembourg,2019,5620.701
LUX,Luxembourg,2020,5858.675
LUX,Luxembourg,2021,6432.133
LUX,Luxembourg,2022,7144.535
LUX,Luxembourg,2023,7736.494
LUX,Luxembourg,2024,8183.482
LUX,Luxembourg,2025,8487.308
MLT,Malta,2016,3231.981
MLT,Malta,2017,3434.675
MLT,Malta,2018,3585.38
MLT,Malta,2019,4179.312
MLT,Malta,2020,4354.744
MLT,Malta,2021,4838.908
MLT,Malta,2022,5137.838
MLT,Malta,2023,5604.669
MEX,Mexico,2000,512.304
MEX,Mexico,2001,567.53
MEX,Mexico,2002,596.533
MEX,Mexico,2003,599.528
MEX,Mexico,2004,650.157
MEX,Mexico,2005,665.201
MEX,Mexico,2006,737.937
MEX,Mexico,2007,773.793
MEX,Mexico,2008,820.375
MEX,Mexico,2009,817.986
MEX,Mexico,2010,851.227
MEX,Mexico,2011,892.986
MEX,Mexico,2012,960.4
MEX,Mexico,2013,989.496
MEX,Mexico,2014,975.079
MEX,Mexico,2015,1035.932
MEX,Mexico,2016,1080.954
MEX,Mexico,2017,1067.28
MEX,Mexico,2018,1089.225
MEX,Mexico,2019,1101.894
MEX,Mexico,2020,1184.145
MEX,Mexico,2021,1252.882
MEX,Mexico,2022,1376.689
MEX,Mexico,2023,1520.001
MEX,Mexico,2024,1653.43
MEX,Mexico,2025,1679.779
MDA,Moldova,2011,524.576
MDA,Moldova,2012,555.367
MDA,Moldova,2013,589.794
MDA,Moldova,2014,638.612
MDA,Moldova,2015,751.304
MDA,Moldova,2016,850.102
MDA,Moldova,2017,832.848
MDA,Moldova,2018,832.648
MDA,Moldova,2019,903.025
MDA,Moldova,2020,976.292
MDA,Moldova,2021,1288.115
MDA,Moldova,2022,1213.595
MDA,Moldova,2023,1267.081
MDA,Moldova,2024,1443.441
MNE,Montenegro,2011,1099.182
MNE,Montenegro,2012,1100.447
MNE,Montenegro,2013,1203.387
